colours_hex,colours_name,pretrain_order,posttrain_order,reward_condition
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,dotmotion-update,dotmotion-update,1
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,dotmotion-update,update-dotmotion,1
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,update-dotmotion,dotmotion-update,1
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,update-dotmotion,update-dotmotion,1
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,dotmotion-update,dotmotion-update,2
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,dotmotion-update,update-dotmotion,2
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,update-dotmotion,dotmotion-update,2
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,update-dotmotion,update-dotmotion,2
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,dotmotion-update,dotmotion-update,3
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,dotmotion-update,update-dotmotion,3
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,update-dotmotion,dotmotion-update,3
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,update-dotmotion,update-dotmotion,3
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,dotmotion-update,dotmotion-update,1
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,dotmotion-update,update-dotmotion,1
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,update-dotmotion,dotmotion-update,1
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,update-dotmotion,update-dotmotion,1
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,dotmotion-update,dotmotion-update,2
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,dotmotion-update,update-dotmotion,2
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,update-dotmotion,dotmotion-update,2
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,update-dotmotion,update-dotmotion,2
