colours_hex,colours_name,pretrain_order,posttrain_order,reward_condition,condition_idx
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,dotmotion-update,dotmotion-update,effort,1
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,dotmotion-update,dotmotion-update,performance,2
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,dotmotion-update,dotmotion-update,neutral,3
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,dotmotion-update,update-dotmotion,effort,4
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,dotmotion-update,update-dotmotion,performance,5
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,dotmotion-update,update-dotmotion,neutral,6
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,update-dotmotion,dotmotion-update,effort,7
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,update-dotmotion,dotmotion-update,performance,8
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,update-dotmotion,dotmotion-update,neutral,9
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,update-dotmotion,update-dotmotion,effort,10
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,update-dotmotion,update-dotmotion,performance,11
#3772FF-#6DA34D-#FF9505-#D00000,blue-green-orange-red,update-dotmotion,update-dotmotion,neutral,12
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,dotmotion-update,dotmotion-update,effort,13
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,dotmotion-update,dotmotion-update,performance,14
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,dotmotion-update,dotmotion-update,neutral,15
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,dotmotion-update,update-dotmotion,effort,16
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,dotmotion-update,update-dotmotion,performance,17
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,dotmotion-update,update-dotmotion,neutral,18
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,update-dotmotion,dotmotion-update,effort,19
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,update-dotmotion,dotmotion-update,performance,20
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,update-dotmotion,dotmotion-update,neutral,21
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,update-dotmotion,update-dotmotion,effort,22
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,update-dotmotion,update-dotmotion,performance,23
#3772FF-#FF9505-#6DA34D-#D00000,blue-orange-green-red,update-dotmotion,update-dotmotion,neutral,24
#3772FF-#D00000-#FF9505-#6DA34D,blue-red-orange-green,dotmotion-update,dotmotion-update,effort,25
#3772FF-#D00000-#FF9505-#6DA34D,blue-red-orange-green,dotmotion-update,dotmotion-update,performance,26
#3772FF-#D00000-#FF9505-#6DA34D,blue-red-orange-green,dotmotion-update,dotmotion-update,neutral,27
#3772FF-#D00000-#FF9505-#6DA34D,blue-red-orange-green,dotmotion-update,update-dotmotion,effort,28
#3772FF-#D00000-#FF9505-#6DA34D,blue-red-orange-green,dotmotion-update,update-dotmotion,performance,29
