q,desc,subscale,subscale2,reverse
1,Seldom feel blue.,neuroticism-withdrawal,neuroticism,1
2,Am not interested in other people's problems.,agreeableness-compassion,agreeableness,1
3,Carry out my plans.,conscientiousness-industriousness,conscientiousness,0
4,Make friends easily.,extraversion-enthusiasm,extraversion,0
5,Am quick to understand things.,openness-intellect,openness,0
6,Get angry easily.,neuroticism-volatility,neuroticism,0
7,Respect authority.,agreeableness-politeness,agreeableness,0
8,Leave my belongings around.,conscientiousness-orderliness,conscientiousness,1
9,Take charge.,extraversion-assertiveness,extraversion,0
10,Enjoy the beauty of nature.,openness-openness,openness,0
11,Am filled with doubts about things.,neuroticism-withdrawal,neuroticism,0
12,Feel others' emotions.,agreeableness-compassion,agreeableness,0
13,Waste my time.,conscientiousness-industriousness,conscientiousness,1
14,Am hard to get to know.,extraversion-enthusiasm,extraversion,1
15,Have difficulty understanding abstract ideas.,openness-intellect,openness,1
16,Rarely get irritated.,neuroticism-volatility,neuroticism,1
17,Believe that I am better than others.,agreeableness-politeness,agreeableness,1
18,Like order.,conscientiousness-orderliness,conscientiousness,0
19,Have a strong personality.,extraversion-assertiveness,extraversion,0
20,Believe in the importance of art.,openness-openness,openness,0
21,Feel comfortable with myself.,neuroticism-withdrawal,neuroticism,1
22,Inquire about others' well-being.,agreeableness-compassion,agreeableness,0
23,Find it difficult to get down to work.,conscientiousness-industriousness,conscientiousness,1
24,Keep others at a distance.,extraversion-enthusiasm,extraversion,1
25,Can handle a lot of information.,openness-intellect,openness,0
26,Get upset easily.,neuroticism-volatility,neuroticism,0
27,Hate to seem pushy.,agreeableness-politeness,agreeableness,0
28,Keep things tidy.,conscientiousness-orderliness,conscientiousness,0
29,Lack the talent for influencing people.,extraversion-assertiveness,extraversion,1
30,Love to reflect on things.,openness-openness,openness,0
31,Feel threatened easily.,neuroticism-withdrawal,neuroticism,0
32,Can't be bothered with other's needs.,agreeableness-compassion,agreeableness,1
33,Mess things up.,conscientiousness-industriousness,conscientiousness,1
34,Reveal little about myself.,extraversion-enthusiasm,extraversion,1
35,Like to solve complex problems.,openness-intellect,openness,0
36,Keep my emotions under control.,neuroticism-volatility,neuroticism,1
37,Take advantage of others.,agreeableness-politeness,agreeableness,1
38,Follow a schedule.,conscientiousness-orderliness,conscientiousness,0
39,Know how to captivate people.,extraversion-assertiveness,extraversion,0
40,Get deeply immersed in music.,openness-openness,openness,0
41,Rarely feel depressed.,neuroticism-withdrawal,neuroticism,1
42,Sympathize with others' feelings.,agreeableness-compassion,agreeableness,0
43,Finish what I start.,conscientiousness-industriousness,conscientiousness,0
44,Warm up quickly to others.,extraversion-enthusiasm,extraversion,0
45,Avoid philosophical discussions.,openness-intellect,openness,1
46,Change my mood a lot.,neuroticism-volatility,neuroticism,0
47,Avoid imposing my will on others.,agreeableness-politeness,agreeableness,0
