q,desc,subscale,reverse
1,It is very important to me to help people around me. I want to care for other people.,benevolence,1
2,It is important to me to be loyal to my friends. I want to devote myself to people close to me.,benevolence,1
3,"I think it is important that every person in the world be treated equally. I wants justice for everybody, even for people I don't know.",universalism,1
4,"It is important to me to listen to people who are different from me. Even when I disagree with them, I still want to understand them.",universalism,1
5,I strongly believe that people should care for nature. Looking after the environment is important to me.,universalism,1
6,Thinking up new ideas and being creative is important to me. I like to do things in my own original way.,self-direction,1
7,It is important to me to make my own decisions about what I do. I like to be free to plan and to choose my activities for myself.,self-direction,1
8,I like surprises and am always looking for new things to do. I think it is important to do lots of different things in life.,stimulation,1
9,I look for adventures and like to take risks. I want to have an exciting life.,stimulation,1
10,"Having a good time is important to me. I like to ""spoil"" myself.",hedonism,1
11,I seek every chance I can to have fun. It is important to me to do things that give me pleasure.,hedonism,1
12,It is very important to me to show my abilities. I want people to admire what I do.,achievement,1
13,Being very successful is important to me. I like to impress other people.,achievement,1
14,It is important to me to be rich. I want to have a lot of money and expensive things.,power,1
15,It is important to me to be in charge and tell others what to do. I want people to do what I say.,power,1
16,It is important to me to live in secure surroundings. I avoid anything that might endanger my safety.,security,1
17,It is very important to me that my country be safe from threats from within and without. I am concerned that social order be protected.,security,1
18,"I believe that people should do what they're told. I think people should follow rules at all times, even when no-one is watching.",conformity,1
19,It is important to me always to behave properly. I want to avoid doing anything people would say is wrong.,conformity,1
20,I think it's important not to ask for more than what you have. I believe that people should be satisfied with what they have.,tradition,1
21,Religious belief is important to me. I try hard to do what my religion requires.,tradition,1
